Type,Service Request No,Created Date,Created Year,Created Month,Block Address,Description
Nuisance Animals,13-01279377,"Sep 03, 2013",2013,9,4800 S KEDVALE AVE,RACCOONS HAVE EATEN THROUGH THE ROOF OF HOUSE AND NOW THERE ARE A FAMILY OF RACCOONS LIVING INSIDE OF THE PROPERTY - Vacant - Boarded - ROOF - Front - raccoons - Too many animals being kept - too many raccoons living in abandoned property
Nuisance Animals,13-01332599,"Sep 11, 2013",2013,9,6300 N LAKEWOOD AVE,caller has problems w/raccoons and would like ac to call him back
Nuisance Animals,13-01516655,"Oct 10, 2013",2013,10,8700 S MARQUETTE AVE,RACCOONS - Other - FEEDING RACCOONS - RACCOON ARE LIVING IN THE BUILDING OF THE OLD MAN ENTERING IN THE SIDE BASEMENT WINDOW ABOUT 12
Nuisance Animals,13-01558709,"Oct 18, 2013",2013,10,8000 S BURNHAM AVE,***Report of possible raccoon infestation at the property per the aldermans office- the property is reported to be owned by the city - Other
Nuisance Animals,13-01560969,"Oct 18, 2013",2013,10,2700 W 68TH ST,***Report of a raccoon on the 13th floor of the parking lot-- holy cross hospital- goto security desk speak to  - Other
Nuisance Animals,13-01657169,"Nov 05, 2013",2013,11,6700 N ODELL AVE,"Other - wildlife - person here is feeding squirrels/raccoon and wildlife, there is a feeder box outside of his dining room window, and the animals are crawling into the back of the home for the food, and this is causing damaged to neighbors property and a health issue."
Nuisance Animals,13-01666075,"Nov 06, 2013",2013,11,8100 S MAPLEWOOD AVE,raccoons - Other - neighbor is feeding raccoons - raccoons are now everywhere
Stray Animal,11-00299856,"Feb 21, 2011",2011,2,3900 S ARCHER AVE,raccoon - Other - McDonald's parking lot
Stray Animal,11-00401626,"Mar 11, 2011",2011,3,13300 S PRAIRIE AVE," - Very Large Raccoon ( This is the 3rd request.) - Other - Midday to 5:00am, comes and goes between those times."
Stray Animal,11-00551464,"Mar 31, 2011",2011,3,2700 W 18TH ST, - Raccoon - Back yard
Stray Animal,11-00712579,"Apr 09, 2011",2011,4,10300 S WOOD ST, - Midsize injured Raccoon - Back yard - never
Stray Animal,11-00805580,"Apr 13, 2011",2011,4,2000 W 79TH PL,other - raccoon - Other - night
Stray Animal,11-00935674,"Apr 18, 2011",2011,4,8500 S HOYNE AVE,raccoon in attic - raccoon in attic - Home - anytime daytime
Stray Animal,11-01126074,"Apr 25, 2011",2011,4,2000 W 103RD ST," - Raccoon(s) adult and possible babies. - Back yard - We've seen during daytime hours in our Garage.  There is a hole in the roof of the garage and a chimney, which we don't know if it is open since the animal is in there."
Stray Animal,11-01241835,"Apr 29, 2011",2011,4,800 E 120TH ST, - medium size raccoon - Other - today  now   this morning
Stray Animal,11-01273779,"Apr 30, 2011",2011,4,1800 W MARQUETTE RD,raccoon - Other inside the garbage cart
Stray Animal,11-01337101,"May 02, 2011",2011,5,1000 W 31ST PL, - raccoon..large - Home - evening/early morning
Stray Animal,11-01369208,"May 03, 2011",2011,5,1400 N CLYBOURN AVE,Other - pedestrian reporting a raccoon roaming around the area.... - Street
Stray Animal,11-01669406,"May 12, 2011",2011,5,900 W 53RD ST,RACCOON - Home - NOW 2 BABY
Stray Animal,11-01796234,"May 16, 2011",2011,5,5100 W NELSON ST,BABY RACCOON - Other - BETWEEN THE GANGWAY  LEFT SIDE OF HOUSE
Stray Animal,11-01981020,"May 21, 2011",2011,5,500 N ALBANY AVE,senior c. is complaining she has too many raccoons roaming around her house at night - Street - Back yard - during the night...
Stray Animal,11-01991698,"May 21, 2011",2011,5,300 S KILBOURN AVE,raccoon - Front yard - now by 
Stray Animal,11-01993086,"May 21, 2011",2011,5,300 S KILBOURN AVE,rocky raccoon - Sidewalk - now
Stray Animal,11-02872955,"Jun 13, 2011",2011,6,10900 S HOMAN AVE, - large raccoon and 3-4 baby raccoons - Front yard - all day in the tree in front of house
Stray Animal,11-03034000,"Jun 17, 2011",2011,6,2100 W MONROE ST, - grey and black raccoon - Vacant lot/Parking lot - Right now - trapped in dumpster in our parking lot
